"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref.";
1;"C1,C2";"C_0603_HandSoldering";2;"12pF";;;
2;"C3";"C_0603_HandSoldering";1;"4u7";;;
3;"C4,C7,C8";"C_0603_HandSoldering";3;"100nF";;;
4;"C5,C6";"C_0603_HandSoldering";2;"10uF";;;
5;"C9,C10,C11";"C_0603_HandSoldering";3;"TBD";;;
6;"J1,J4";"Pin_Header_Straight_1x08_Pitch2.54mm";2;"Conn_01x08";;;
7;"J2,J3";"Pin_Header_Straight_1x07_Pitch2.54mm";2;"Conn_01x07";;;
8;"J5";"SMA_THT_Jack_Straight";1;"ANT";;;
9;"Q1";"SG-3030JC";1;"SG-3030JC";;;
10;"R1,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R9,R15,R16,R17,R18,R19,R20";"R_0603_HandSoldering";19;"10K";;;
11;"U1";"AP6212";1;"AP6212";;;
12;"Y1";"3225-Crystal";1;"26Mhz";;;
13;"R14";"R_0603_HandSoldering";1;"33R";;;
14;"L1";"R_1206_HandSoldering";1;"3.3uH";;;
15;"C12";"C_0603_HandSoldering";1;"33pF";;;
